English,Japanese,Category,Notes
alert,お知らせ,教員向け,「警告」は強すぎるため文脈に応じて「通知」「お知らせ」等に
insight,気づき,共通,専門用語「インサイト」を避ける
risk,気がかりな点,共通,「リスク」は不安を煽るため避ける
reflection,振り返り,生徒向け,
observation,観測,教員向け,
support summary,サポート要約,教員向け,
dashboard,ダッシュボード,教員向け,
timeline,タイムライン,生徒向け,
entry,記録,共通,
submit,保存する / 送信する,共通,ボタンのラベル
reflection signal,変化の大きさ,共通,「スコア」「判定」を避ける。診断ではないことが読み取れる語にする
not enough data,データ不足,共通,「エラー」ではなく、まだ比較できないという意味
baseline,基準値 / ふだんの傾向,共通,教員向けには「基準値」、生徒向けには「ふだん」
observation,観測,教員向け,推論ではなく観測であることを示す語
safety flag,安全に関する記録,教員向け,「警告」「リスク」を使わない
crisis,すぐに確認,教員向け,重大度のラベル。生徒の状態ではなく対応の緊急度を指す
elevated,確認が必要,教員向け,同上
consent,同意,共通,
revoke,取り消す,共通,「解除」より平易
share,共有する,共通,
counselor,支援担当,教員向け,学校により呼称が異なるため中立な語
roster,名簿,教員向け,
cohort,クラス,教員向け,「コホート」は使わない
evaluation run,評価の実行,レビュー担当,
verdict,判定結果,レビュー担当,評価システムの結果であり、生徒に対する判定ではない
artifact,成果物,レビュー担当,
node,内容,生徒向け,グラフ上の丸。「ノード」は使わない
relation,関係,共通,
snapshot,その日の記録,共通,「スナップショット」は使わない
turn,やりとり,生徒向け,会話の往復
importance,重要度,生徒向け,
confidence,確からしさ,共通,「信頼度」は別の意味に読まれやすい
